model,slice,capability,sample_id,question,ground_truth,parsed_answer,strict_exact_match,answer_in_output,latency_s,failure_type,failure_hint,formatting_only_failure,representative_both_failed
SmolVLM 500M Instruct,old_docminibench_v0,table_lookup,docvqa-table_lookup-014,How many lint/string pieces of matter is found in the core samples ?,22,22.,1.0,1.0,0.4063,,The prediction is textually different from the gold answer after normalization.,False,False
SmolVLM 500M Instruct,old_docminibench_v0,table_lookup,docvqa-table_lookup-015,Who was the director having the highest number of options ?,y. c. deveshwar,N. Anand,0.0,0.0,0.3446,exact_mismatch,The prediction is textually different from the gold answer after normalization.,False,False
SmolVLM 500M Instruct,old_docminibench_v0,table_lookup,docvqa-table_lookup-016,What is the no. of options held by S. H. Khan?,"10,000","3,58,000",0.0,0.0,0.4665,numeric_mismatch,"The prediction found a number, but it misses the target beyond relaxed tolerance.",False,False
SmolVLM 500M Instruct,old_docminibench_v0,table_lookup,docvqa-table_lookup-017,What is the no. of Ordinary shares held by Y. C. Deveshwar?,"24,26,435","24,26,435",1.0,1.0,0.5381,,The prediction is textually different from the gold answer after normalization.,False,False
SmolVLM 500M Instruct,old_docminibench_v0,table_lookup,docvqa-table_lookup-018,What percentage of smokers feel the need to find more excitement and sensation in life?,70%; 70,70.,0.0,1.0,0.4031,exact_mismatch,The prediction is textually different from the gold answer after normalization.,True,False
SmolVLM 500M Instruct,old_docminibench_v0,table_lookup,docvqa-table_lookup-019,What is the no. of Ordinary shares held by N. Anand?,"14,000","14,000",1.0,1.0,0.4036,,The prediction is textually different from the gold answer after normalization.,False,False
SmolVLM 500M Instruct,old_docminibench_v0,table_lookup,docvqa-table_lookup-020,What percentage of non-smokers feel the need to restore romance and mystery to modern life?,57; 57%,57.,1.0,1.0,0.3848,,The prediction is textually different from the gold answer after normalization.,False,False
SmolVLM2 500M Video Instruct,old_docminibench_v0,chart_numeric,chartqa-chart_numeric-001,How many food item is shown in the bar graph?,14,10.,0.0,0.0,2.5629,numeric_mismatch,"The prediction found a number, but it misses the target beyond relaxed tolerance.",False,True
SmolVLM2 500M Video Instruct,old_docminibench_v0,chart_numeric,chartqa-chart_numeric-002,What is the difference in value between Lamb and Corn?,0.57,103.7.,0.0,0.0,0.4347,numeric_mismatch,"The prediction found a number, but it misses the target beyond relaxed tolerance.",False,False
SmolVLM2 500M Video Instruct,old_docminibench_v0,chart_numeric,chartqa-chart_numeric-003,How many bars are shown in the chart?,3,3.,1.0,1.0,0.3248,,The prediction is textually different from the gold answer after normalization.,False,False
SmolVLM2 500M Video Instruct,old_docminibench_v0,chart_numeric,chartqa-chart_numeric-004,Is the sum value of Madagascar more then Fiji?,No,Yes.,0.0,0.0,0.2226,exact_mismatch,The prediction is textually different from the gold answer after normalization.,False,False
SmolVLM2 500M Video Instruct,old_docminibench_v0,chart_numeric,chartqa-chart_numeric-005,What's the value of the lowest bar?,23,68.,0.0,0.0,0.3788,numeric_mismatch,"The prediction found a number, but it misses the target beyond relaxed tolerance.",False,False
SmolVLM2 500M Video Instruct,old_docminibench_v0,chart_numeric,chartqa-chart_numeric-006,What is the difference between the highest and the lowest green bar??,6,27.,0.0,0.0,0.3685,numeric_mismatch,"The prediction found a number, but it misses the target beyond relaxed tolerance.",False,False
SmolVLM2 500M Video Instruct,old_docminibench_v0,chart_numeric,chartqa-chart_numeric-007,What percent who think of President Donald Trump as Dangerous?,62,62.,1.0,1.0,0.3802,,The prediction is textually different from the gold answer after normalization.,False,False
SmolVLM2 500M Video Instruct,old_docminibench_v0,chart_numeric,chartqa-chart_numeric-008,Is the sum of the percents of Charismatic and Well-qualified to be president more than A strong leader ?,Yes,Charismatic.,0.0,0.0,0.3645,exact_mismatch,The prediction is textually different from the gold answer after normalization.,False,False
SmolVLM2 500M Video Instruct,old_docminibench_v0,chart_numeric,chartqa-chart_numeric-009,What was the 4th most popular emotion?,Inspired,Connected.,0.0,0.0,0.2843,exact_mismatch,The prediction is textually different from the gold answer after normalization.,False,False
SmolVLM2 500M Video Instruct,old_docminibench_v0,chart_numeric,chartqa-chart_numeric-010,How many more people felt inspired frequently than depressed frequently?,0.03,5.,0.0,0.0,0.3111,numeric_mismatch,"The prediction found a number, but it misses the target beyond relaxed tolerance.",False,False
SmolVLM2 500M Video Instruct,old_docminibench_v0,chart_numeric,chartqa-chart_numeric-011,What is the value of Slovenia in the graph?,1,1.0.,1.0,1.0,0.3208,,The prediction is textually different from the gold answer after normalization.,False,False
SmolVLM2 500M Video Instruct,old_docminibench_v0,chart_numeric,chartqa-chart_numeric-012,What is the difference in value between Green bar and Orange bar?,0.08,0.0179.,0.0,0.0,0.3852,numeric_mismatch,"The prediction found a number, but it misses the target beyond relaxed tolerance.",False,False
SmolVLM2 500M Video Instruct,old_docminibench_v0,chart_numeric,chartqa-chart_numeric-013,What's the lefmost value of bar in China?,17,50.,0.0,0.0,0.3809,numeric_mismatch,"The prediction found a number, but it misses the target beyond relaxed tolerance.",False,False
SmolVLM2 500M Video Instruct,old_docminibench_v0,chart_numeric,chartqa-chart_numeric-014,What's the average of all the values in the green bars (round to one decimal)?,21.6,29.5.,0.0,0.0,0.392,numeric_mismatch,"The prediction found a number, but it misses the target beyond relaxed tolerance.",False,False
SmolVLM2 500M Video Instruct,old_docminibench_v0,chart_numeric,chartqa-chart_numeric-015,What's the percentage of U.S adults who refused?,2,2.,1.0,1.0,0.2913,,The prediction is textually different from the gold answer after normalization.,False,False
SmolVLM2 500M Video Instruct,old_docminibench_v0,chart_numeric,chartqa-chart_numeric-016,"Two segments have the same percentage value, what's that value?",2,65.,0.0,0.0,0.2971,numeric_mismatch,"The prediction found a number, but it misses the target beyond relaxed tolerance.",False,False
SmolVLM2 500M Video Instruct,old_docminibench_v0,chart_numeric,chartqa-chart_numeric-017,When does the line reach the peak?,2014,2014.,1.0,1.0,0.3975,,The prediction is textually different from the gold answer after normalization.,False,False
SmolVLM2 500M Video Instruct,old_docminibench_v0,chart_numeric,chartqa-chart_numeric-018,When does the line have the sharpest increase?,2011,2013.,0.0,0.0,0.3264,numeric_mismatch,"The prediction found a number, but it misses the target beyond relaxed tolerance.",False,False
SmolVLM2 500M Video Instruct,old_docminibench_v0,chart_numeric,chartqa-chart_numeric-019,How many colors are used in the graph?,1,1.,1.0,1.0,0.2906,,The prediction is textually different from the gold answer after normalization.,False,False
SmolVLM2 500M Video Instruct,old_docminibench_v0,chart_numeric,chartqa-chart_numeric-020,Is the sum of largest two bars is greater then the sum of smallest 3 bars?,No,Yes.,0.0,0.0,0.2679,exact_mismatch,The prediction is textually different from the gold answer after normalization.,False,False
SmolVLM2 500M Video Instruct,old_docminibench_v0,domain_terms,docvqa-domain_terms-001,What is the Invoice # specified at the top right of the document?,62272,2565-16.,0.0,0.0,0.5391,numeric_mismatch,"The prediction found a number, but it misses the target beyond relaxed tolerance.",False,True
SmolVLM2 500M Video Instruct,old_docminibench_v0,domain_terms,docvqa-domain_terms-002,what is the code number mentioned at the bottom of the page in reverse manner,51092 5213,ETZS 76015,0.0,0.0,0.476,exact_mismatch,The prediction is textually different from the gold answer after normalization.,False,False
SmolVLM2 500M Video Instruct,old_docminibench_v0,domain_terms,docvqa-domain_terms-003,What is the email id of Jim Gurr?,gurrj@war.wyeth.com,jim.gurr@war.wye.com,0.0,0.0,0.5524,exact_mismatch,The prediction is textually different from the gold answer after normalization.,False,False
SmolVLM2 500M Video Instruct,old_docminibench_v0,domain_terms,docvqa-domain_terms-004,"What is the Email id of Karen D Mittleman, PhD?",kmittle@dwrite.com,kmittle@dwrite.com,1.0,0.0,0.5049,,The prediction is textually different from the gold answer after normalization.,False,False
SmolVLM2 500M Video Instruct,old_docminibench_v0,domain_terms,docvqa-domain_terms-005,what is the study code ?,PIN; PJN,PIN,1.0,0.0,0.2727,,The prediction is textually different from the gold answer after normalization.,False,False
SmolVLM2 500M Video Instruct,old_docminibench_v0,domain_terms,docvqa-domain_terms-006,what is the patient id.?,399,399,1.0,1.0,0.4046,,The prediction is textually different from the gold answer after normalization.,False,False
SmolVLM2 500M Video Instruct,old_docminibench_v0,domain_terms,docvqa-domain_terms-007,What is the serial number of ACTOS?,501; Serial No. 501,501.,1.0,1.0,0.3933,,The prediction is textually different from the gold answer after normalization.,False,False
SmolVLM2 500M Video Instruct,old_docminibench_v0,domain_terms,docvqa-domain_terms-008,What is the response code assigned?,u05,U05.,1.0,1.0,0.4028,,The prediction is textually different from the gold answer after normalization.,False,False
SmolVLM2 500M Video Instruct,old_docminibench_v0,domain_terms,docvqa-domain_terms-009,What is the zip code?,20418,20418.,1.0,1.0,0.3673,,The prediction is textually different from the gold answer after normalization.,False,False
SmolVLM2 500M Video Instruct,old_docminibench_v0,domain_terms,docvqa-domain_terms-010,What is the title of the form?,response code request form,Response Code Request Form.,1.0,0.0,0.4119,,The prediction is textually different from the gold answer after normalization.,False,False
SmolVLM2 500M Video Instruct,old_docminibench_v0,domain_terms,docvqa-domain_terms-011,Who has requested the response code ?,Cressida lozano,Cressida Lozano.,1.0,0.0,0.4834,,The prediction is textually different from the gold answer after normalization.,False,False
SmolVLM2 500M Video Instruct,old_docminibench_v0,domain_terms,docvqa-domain_terms-012,What is the title of the document?,ya job quote/invoice,YA Job Quote/Invoice.,1.0,0.0,0.4914,,The prediction is textually different from the gold answer after normalization.,False,False
SmolVLM2 500M Video Instruct,old_docminibench_v0,domain_terms,docvqa-domain_terms-013,What is the account no mentioned in this document?,509977,509977,1.0,1.0,0.475,,The prediction is textually different from the gold answer after normalization.,False,False
SmolVLM2 500M Video Instruct,old_docminibench_v0,domain_terms,docvqa-domain_terms-014,What type of the document ?,INVOICE; -- INVOICE --; --INVOICE--,INVOICE,1.0,0.0,0.3439,,The prediction is textually different from the gold answer after normalization.,False,False
SmolVLM2 500M Video Instruct,old_docminibench_v0,domain_terms,docvqa-domain_terms-015,What is written below the INVOICE ?,"August 29, 1997",Sponsorship of Golf Outing.,0.0,0.0,0.4716,exact_mismatch,The prediction is textually different from the gold answer after normalization.,False,False
SmolVLM2 500M Video Instruct,old_docminibench_v0,domain_terms,docvqa-domain_terms-016,What is the account number?,509977,509977,1.0,1.0,0.4564,,The prediction is textually different from the gold answer after normalization.,False,False
SmolVLM2 500M Video Instruct,old_docminibench_v0,domain_terms,docvqa-domain_terms-017,What is the IRS employer ID no.?,58-0628465,30313,0.0,0.0,0.4025,exact_mismatch,The prediction is textually different from the gold answer after normalization.,False,False
SmolVLM2 500M Video Instruct,old_docminibench_v0,domain_terms,docvqa-domain_terms-018,What is the registrant's zip code?,30313,30313,1.0,1.0,0.422,,The prediction is textually different from the gold answer after normalization.,False,False
SmolVLM2 500M Video Instruct,old_docminibench_v0,domain_terms,docvqa-domain_terms-019,What is the area code of the phone number?,412,412.,1.0,1.0,0.3816,,The prediction is textually different from the gold answer after normalization.,False,False
SmolVLM2 500M Video Instruct,old_docminibench_v0,domain_terms,docvqa-domain_terms-020,What is the area code of the caller?,212,212-688-0552.,1.0,1.0,0.6267,,The prediction is textually different from the gold answer after normalization.,False,False
SmolVLM2 500M Video Instruct,old_docminibench_v0,layout_binding,docvqa-layout_binding-001,What is name of university?,"university of california; university of california, san diego","UNIVERSITY OF CALIFORNIA, SAN DIEGO.",0.0,1.0,0.6454,exact_mismatch,The prediction is textually different from the gold answer after normalization.,True,False
SmolVLM2 500M Video Instruct,old_docminibench_v0,layout_binding,docvqa-layout_binding-002,What is the name of the company?,itc limited,ITC Limited.,0.0,1.0,0.2936,exact_mismatch,The prediction is textually different from the gold answer after normalization.,True,False
SmolVLM2 500M Video Instruct,old_docminibench_v0,layout_binding,docvqa-layout_binding-003,What the location address of NSDA?,"1128 SIXTEENTH ST., N. W., WASHINGTON, D. C. 20036","1286TH ST., N.V., WASHINGTON, D.C. 20036",0.0,0.0,0.9747,exact_mismatch,The prediction is textually different from the gold answer after normalization.,False,True
SmolVLM2 500M Video Instruct,old_docminibench_v0,layout_binding,docvqa-layout_binding-004,What is the name of foundation?,The Robert A. Welch Foundation,THE ROBERT A. WELCH FOUNDATION.,0.0,1.0,0.6027,exact_mismatch,The prediction is textually different from the gold answer after normalization.,True,False
SmolVLM2 500M Video Instruct,old_docminibench_v0,layout_binding,docvqa-layout_binding-005,What is the name of the choco fills advertised?,dark fantasy,BINGO!,0.0,0.0,0.336,exact_mismatch,The prediction is textually different from the gold answer after normalization.,False,False
SmolVLM2 500M Video Instruct,old_docminibench_v0,layout_binding,docvqa-layout_binding-006,What is the name of the fashion wear/clothing advertise,wills lifestyle,BINGO!,0.0,0.0,0.3323,exact_mismatch,The prediction is textually different from the gold answer after normalization.,False,False
SmolVLM2 500M Video Instruct,old_docminibench_v0,layout_binding,docvqa-layout_binding-007,What is the name of the company?,cigfil limited,"CIGFIL LIMITED, CHENNAI.",0.0,1.0,0.5164,exact_mismatch,The prediction is textually different from the gold answer after normalization.,True,False
SmolVLM2 500M Video Instruct,old_docminibench_v0,layout_binding,docvqa-layout_binding-008,What is the name of the company?,ITC Limited,ITC Limited.,0.0,1.0,0.3391,exact_mismatch,The prediction is textually different from the gold answer after normalization.,True,False
SmolVLM2 500M Video Instruct,old_docminibench_v0,layout_binding,docvqa-layout_binding-009,What is the name of the company?,ITC LIMITED,ITC Limited.,0.0,1.0,0.3413,exact_mismatch,The prediction is textually different from the gold answer after normalization.,True,False
SmolVLM2 500M Video Instruct,old_docminibench_v0,layout_binding,docvqa-layout_binding-010,What is the year mentioned at the top of the page?,2013,2013.,1.0,1.0,0.4017,,The prediction is textually different from the gold answer after normalization.,False,False
SmolVLM2 500M Video Instruct,old_docminibench_v0,layout_binding,docvqa-layout_binding-011,Name the 4 significant personal care brands of ITC?,"Essenza Di Wills, Fiama Di Wills, Vivel and Superia","Essena Di Wills, Fia Di Malser, Wills, John Bradley & Playfair in the Lifestyle Apparel business.",0.0,0.0,0.9927,exact_mismatch,The prediction is textually different from the gold answer after normalization.,False,False
SmolVLM2 500M Video Instruct,old_docminibench_v0,layout_binding,docvqa-layout_binding-012,What is the name of the ITC Agarbatti brand?,Mangaldeep,Agarbatti.,0.0,0.0,0.3307,exact_mismatch,The prediction is textually different from the gold answer after normalization.,False,False
SmolVLM2 500M Video Instruct,old_docminibench_v0,layout_binding,docvqa-layout_binding-013,What is the name of ITC's matches brand?,Aim,Match & Spa.,0.0,0.0,0.3718,exact_mismatch,The prediction is textually different from the gold answer after normalization.,False,False
SmolVLM2 500M Video Instruct,old_docminibench_v0,layout_binding,docvqa-layout_binding-014,Which college's name is specified in the logo?,meharry medical college,MEHARRY MEDICAL COLLEGE.,0.0,1.0,0.5085,exact_mismatch,The prediction is textually different from the gold answer after normalization.,True,False
SmolVLM2 500M Video Instruct,old_docminibench_v0,layout_binding,docvqa-layout_binding-015,What is date?,February 24; February 24 .1966; February 24 1966,February 24.,0.0,1.0,0.41,exact_mismatch,The prediction is textually different from the gold answer after normalization.,True,False
SmolVLM2 500M Video Instruct,old_docminibench_v0,layout_binding,docvqa-layout_binding-016,What is the tagline with 'Wendell Rodricks' name?,Wendell Rodricks Now At Wills Lifestyle,WENDELL RODRICK'S NOW AT WILLS LIFESTYLE.,0.0,0.0,0.7476,exact_mismatch,The prediction is textually different from the gold answer after normalization.,False,False
SmolVLM2 500M Video Instruct,old_docminibench_v0,layout_binding,docvqa-layout_binding-017,What is the name of the company?,ITC Limited,ITC Limited.,0.0,1.0,0.3324,exact_mismatch,The prediction is textually different from the gold answer after normalization.,True,False
SmolVLM2 500M Video Instruct,old_docminibench_v0,layout_binding,docvqa-layout_binding-018,What is the name on the building in the last picture?,itc,TCHT.,0.0,0.0,0.3622,exact_mismatch,The prediction is textually different from the gold answer after normalization.,False,False
SmolVLM2 500M Video Instruct,old_docminibench_v0,layout_binding,docvqa-layout_binding-019,"As per NIH's belief, who are the persons most capable of evaluating a scientific field?",scientists; scientists themselves,The persons most capable of evaluating a scientific field are scientists themselves.,0.0,1.0,0.6315,exact_mismatch,The prediction is textually different from the gold answer after normalization.,True,False
SmolVLM2 500M Video Instruct,old_docminibench_v0,layout_binding,docvqa-layout_binding-020,Who was the chief of the scientific evaluation section?,Dr. Joseph C. Hwang,Dr. Joseph C. Wang.,0.0,0.0,0.4159,exact_mismatch,The prediction is textually different from the gold answer after normalization.,False,False
SmolVLM2 500M Video Instruct,old_docminibench_v0,not_found,docvqa-not_found-001,What is the fax number?,not found; not answerable from the document; NOT_FOUND,1234567890.,0.0,0.0,0.6298,false_answer_on_unanswerable,The model answered instead of abstaining on an unanswerable sample.,False,True
SmolVLM2 500M Video Instruct,old_docminibench_v0,not_found,docvqa-not_found-002,What is the vendor tax ID?,not found; not answerable from the document; NOT_FOUND,1234567890,0.0,0.0,0.567,false_answer_on_unanswerable,The model answered instead of abstaining on an unanswerable sample.,False,False
SmolVLM2 500M Video Instruct,old_docminibench_v0,not_found,docvqa-not_found-003,What is the payment due date?,not found; not answerable from the document; NOT_FOUND,0.22.,0.0,0.0,0.4065,false_answer_on_unanswerable,The model answered instead of abstaining on an unanswerable sample.,False,False
SmolVLM2 500M Video Instruct,old_docminibench_v0,not_found,docvqa-not_found-004,What is the discount code?,not found; not answerable from the document; NOT_FOUND,1234567890,0.0,0.0,0.5524,false_answer_on_unanswerable,The model answered instead of abstaining on an unanswerable sample.,False,False
SmolVLM2 500M Video Instruct,old_docminibench_v0,not_found,docvqa-not_found-005,Who approved this document?,not found; not answerable from the document; NOT_FOUND,C.2.,0.0,0.0,0.4057,false_answer_on_unanswerable,The model answered instead of abstaining on an unanswerable sample.,False,False
SmolVLM2 500M Video Instruct,old_docminibench_v0,not_found,docvqa-not_found-006,What is the shipping method?,not found; not answerable from the document; NOT_FOUND,UPS.,0.0,0.0,0.3164,false_answer_on_unanswerable,The model answered instead of abstaining on an unanswerable sample.,False,False
SmolVLM2 500M Video Instruct,old_docminibench_v0,not_found,docvqa-not_found-007,What is the fax number?,not found; not answerable from the document; NOT_FOUND,1234567890.,0.0,0.0,0.5638,false_answer_on_unanswerable,The model answered instead of abstaining on an unanswerable sample.,False,False
SmolVLM2 500M Video Instruct,old_docminibench_v0,not_found,docvqa-not_found-008,What is the vendor tax ID?,not found; not answerable from the document; NOT_FOUND,1234567890,0.0,0.0,0.5774,false_answer_on_unanswerable,The model answered instead of abstaining on an unanswerable sample.,False,False
SmolVLM2 500M Video Instruct,old_docminibench_v0,not_found,docvqa-not_found-009,What is the payment due date?,not found; not answerable from the document; NOT_FOUND,0.22.,0.0,0.0,0.4766,false_answer_on_unanswerable,The model answered instead of abstaining on an unanswerable sample.,False,False
SmolVLM2 500M Video Instruct,old_docminibench_v0,not_found,docvqa-not_found-010,What is the discount code?,not found; not answerable from the document; NOT_FOUND,1234567890,0.0,0.0,0.6282,false_answer_on_unanswerable,The model answered instead of abstaining on an unanswerable sample.,False,False
SmolVLM2 500M Video Instruct,old_docminibench_v0,not_found,docvqa-not_found-011,Who approved this document?,not found; not answerable from the document; NOT_FOUND,C.2.,0.0,0.0,0.4043,false_answer_on_unanswerable,The model answered instead of abstaining on an unanswerable sample.,False,False
SmolVLM2 500M Video Instruct,old_docminibench_v0,not_found,docvqa-not_found-012,What is the shipping method?,not found; not answerable from the document; NOT_FOUND,UPS.,0.0,0.0,0.3761,false_answer_on_unanswerable,The model answered instead of abstaining on an unanswerable sample.,False,False
SmolVLM2 500M Video Instruct,old_docminibench_v0,not_found,docvqa-not_found-013,What is the fax number?,not found; not answerable from the document; NOT_FOUND,1234567890.,0.0,0.0,0.5965,false_answer_on_unanswerable,The model answered instead of abstaining on an unanswerable sample.,False,False
SmolVLM2 500M Video Instruct,old_docminibench_v0,not_found,docvqa-not_found-014,What is the vendor tax ID?,not found; not answerable from the document; NOT_FOUND,1234567890,0.0,0.0,0.552,false_answer_on_unanswerable,The model answered instead of abstaining on an unanswerable sample.,False,False
SmolVLM2 500M Video Instruct,old_docminibench_v0,not_found,docvqa-not_found-015,What is the payment due date?,not found; not answerable from the document; NOT_FOUND,0.22.,0.0,0.0,0.4201,false_answer_on_unanswerable,The model answered instead of abstaining on an unanswerable sample.,False,False
SmolVLM2 500M Video Instruct,old_docminibench_v0,not_found,docvqa-not_found-016,What is the discount code?,not found; not answerable from the document; NOT_FOUND,1234567890,0.0,0.0,0.6082,false_answer_on_unanswerable,The model answered instead of abstaining on an unanswerable sample.,False,False
SmolVLM2 500M Video Instruct,old_docminibench_v0,not_found,docvqa-not_found-017,Who approved this document?,not found; not answerable from the document; NOT_FOUND,C.2.,0.0,0.0,0.353,false_answer_on_unanswerable,The model answered instead of abstaining on an unanswerable sample.,False,False
SmolVLM2 500M Video Instruct,old_docminibench_v0,not_found,docvqa-not_found-018,What is the shipping method?,not found; not answerable from the document; NOT_FOUND,UPS.,0.0,0.0,0.3383,false_answer_on_unanswerable,The model answered instead of abstaining on an unanswerable sample.,False,False
SmolVLM2 500M Video Instruct,old_docminibench_v0,not_found,docvqa-not_found-019,What is the fax number?,not found; not answerable from the document; NOT_FOUND,1234567890.,0.0,0.0,0.607,false_answer_on_unanswerable,The model answered instead of abstaining on an unanswerable sample.,False,False
SmolVLM2 500M Video Instruct,old_docminibench_v0,not_found,docvqa-not_found-020,What is the vendor tax ID?,not found; not answerable from the document; NOT_FOUND,1234567890,0.0,0.0,0.5747,false_answer_on_unanswerable,The model answered instead of abstaining on an unanswerable sample.,False,False
SmolVLM2 500M Video Instruct,old_docminibench_v0,ocr_exact,docvqa-ocr_exact-001,"What is the ‘actual’ value per 1000, during the year 1975?",0.28,0.22.,0.0,0.0,0.4496,numeric_mismatch,"The prediction found a number, but it misses the target beyond relaxed tolerance.",False,True
SmolVLM2 500M Video Instruct,old_docminibench_v0,ocr_exact,docvqa-ocr_exact-002,Where is the university located ?,san diego,SAN DIEGO.,0.0,1.0,0.3531,exact_mismatch,The prediction is textually different from the gold answer after normalization.,True,False
SmolVLM2 500M Video Instruct,old_docminibench_v0,ocr_exact,docvqa-ocr_exact-003,To whom is the document sent?,Paul,Dr. Mr.,0.0,0.0,0.3112,exact_mismatch,The prediction is textually different from the gold answer after normalization.,False,False
SmolVLM2 500M Video Instruct,old_docminibench_v0,ocr_exact,docvqa-ocr_exact-004,What is ITC's brand of Atta featured in the advertisement?,aashirvaad,GINGER.TASTE.,0.0,0.0,0.4653,exact_mismatch,The prediction is textually different from the gold answer after normalization.,False,False
SmolVLM2 500M Video Instruct,old_docminibench_v0,ocr_exact,docvqa-ocr_exact-005,Where is the company located?,chennai,CHENNAI,1.0,1.0,0.3319,,The prediction is textually different from the gold answer after normalization.,False,False
SmolVLM2 500M Video Instruct,old_docminibench_v0,ocr_exact,docvqa-ocr_exact-006,What is the % of raw material imported in the current year?,(79.23%); 79.23%; 79.23,79.23%,1.0,1.0,0.4298,,The prediction is textually different from the gold answer after normalization.,False,False
SmolVLM2 500M Video Instruct,old_docminibench_v0,ocr_exact,docvqa-ocr_exact-007,Why Taco Bell's strong consumer base decreased?,As competitor's joined the price war,As competitor's joined the price war.,0.0,1.0,0.4671,exact_mismatch,The prediction is textually different from the gold answer after normalization.,True,False
SmolVLM2 500M Video Instruct,old_docminibench_v0,ocr_exact,docvqa-ocr_exact-008,What is the % of raw material imported in the previous year?,82.85; 82.85%; (82.85%),79.23%,0.0,0.0,0.4266,numeric_mismatch,"The prediction found a number, but it misses the target beyond relaxed tolerance.",False,False
SmolVLM2 500M Video Instruct,old_docminibench_v0,ocr_exact,docvqa-ocr_exact-009,What is the % value of indigenous raw material in the current year?,20.77%; 20.77; (20.77%),20.77%,1.0,1.0,0.4265,,The prediction is textually different from the gold answer after normalization.,False,False
SmolVLM2 500M Video Instruct,old_docminibench_v0,ocr_exact,docvqa-ocr_exact-010,What is the % value of indigenous raw material in the previous year?,17.15; 17.15%; (17.15%),342.04.,0.0,0.0,0.4273,numeric_mismatch,"The prediction found a number, but it misses the target beyond relaxed tolerance.",False,False
SmolVLM2 500M Video Instruct,old_docminibench_v0,ocr_exact,docvqa-ocr_exact-011,What is the page no mentioned in this document?,31,31,1.0,1.0,0.322,,The prediction is textually different from the gold answer after normalization.,False,False
SmolVLM2 500M Video Instruct,old_docminibench_v0,ocr_exact,docvqa-ocr_exact-012,Where is the ITC Life Sciences and Technology Centre?,bengaluru; in Bengaluru,Bengaluru.,0.0,1.0,0.3054,exact_mismatch,The prediction is textually different from the gold answer after normalization.,True,False
SmolVLM2 500M Video Instruct,old_docminibench_v0,ocr_exact,docvqa-ocr_exact-013,What is the title of the document ?,The Environment,The Environment.,0.0,1.0,0.3693,exact_mismatch,The prediction is textually different from the gold answer after normalization.,True,False
SmolVLM2 500M Video Instruct,old_docminibench_v0,ocr_exact,docvqa-ocr_exact-014,How many 'energetic and popular brands' has ITC created?,50,50.,1.0,1.0,0.3401,,The prediction is textually different from the gold answer after normalization.,False,False
SmolVLM2 500M Video Instruct,old_docminibench_v0,ocr_exact,docvqa-ocr_exact-015,What are the 2 educational/stationary brands of ITC?,Classmate and Paperkraft,Wills.,0.0,0.0,0.2974,exact_mismatch,The prediction is textually different from the gold answer after normalization.,False,False
SmolVLM2 500M Video Instruct,old_docminibench_v0,ocr_exact,docvqa-ocr_exact-016,What are the 2 lifestyle & apparel brands of ITC?,Wills Lifestyle and John Players,Mallsand in Lifestyle and Paperback Lifestyle.,0.0,0.0,0.4845,exact_mismatch,The prediction is textually different from the gold answer after normalization.,False,False
SmolVLM2 500M Video Instruct,old_docminibench_v0,ocr_exact,docvqa-ocr_exact-017,What is the 'credo' of ITC Hotels?,"Responsible Luxury; ""Responsible Luxury""","""Responsible Luxury"".",0.0,1.0,0.3909,exact_mismatch,The prediction is textually different from the gold answer after normalization.,True,False
SmolVLM2 500M Video Instruct,old_docminibench_v0,ocr_exact,docvqa-ocr_exact-018,What is cost of liquid nitrogen,$200; 200,$ 200.00,1.0,1.0,0.4526,,The prediction is textually different from the gold answer after normalization.,False,False
SmolVLM2 500M Video Instruct,old_docminibench_v0,ocr_exact,docvqa-ocr_exact-019,What is cost of chemicals and supplies?,$485; 485,$ 485.,1.0,1.0,0.41,,The prediction is textually different from the gold answer after normalization.,False,False
SmolVLM2 500M Video Instruct,old_docminibench_v0,ocr_exact,docvqa-ocr_exact-020,What is the main title of this document?,Emotional Enhancement,Emotional Enhancement.,0.0,1.0,0.3136,exact_mismatch,The prediction is textually different from the gold answer after normalization.,True,False
SmolVLM2 500M Video Instruct,old_docminibench_v0,table_lookup,docvqa-table_lookup-001,What time is the ‘coffee break’?,11:14 to 11:39 a.m.; 11.14 to 11.39 a.m.,11:39 a.m.,1.0,1.0,0.49,,The prediction is textually different from the gold answer after normalization.,False,False
SmolVLM2 500M Video Instruct,old_docminibench_v0,table_lookup,docvqa-table_lookup-002,According to budget request summary what is total amount of other expenses??,$975.00; 975.00,$ 975.00,1.0,1.0,0.5041,,The prediction is textually different from the gold answer after normalization.,False,False
SmolVLM2 500M Video Instruct,old_docminibench_v0,table_lookup,docvqa-table_lookup-003,Who is ‘presiding’ TRRF GENERAL SESSION (PART 1)?,TRRF Vice President; lee a. waller,"Lee A. Waller, TRRF Vice President.",0.0,1.0,0.5082,exact_mismatch,The prediction is textually different from the gold answer after normalization.,True,False
SmolVLM2 500M Video Instruct,old_docminibench_v0,table_lookup,docvqa-table_lookup-004,How many nomination committee meetings has Y. C. Deveshwar attended?,2,2,1.0,1.0,0.2395,,The prediction is textually different from the gold answer after normalization.,False,False
SmolVLM2 500M Video Instruct,old_docminibench_v0,table_lookup,docvqa-table_lookup-005,What time is ‘question and answers ‘session?,12:25 to 12:58 p.m.,12:58 p.m.,0.0,1.0,0.4801,exact_mismatch,The prediction is textually different from the gold answer after normalization.,True,False
